rank,team,pi_home,pi_away,pi_composite,egm_vs_average,n_matches,last_match_date
1,France,1.4038,-0.1404,0.6317,0.6317,16,2026-06-22
2,Argentina,1.0916,-0.1092,0.4912,0.4912,13,2026-06-22
3,England,1.0553,-0.1055,0.4749,0.4749,13,2026-06-17
4,Netherlands,1.0406,-0.1041,0.4683,0.4683,7,2026-06-20
5,Spain,1.0250,-0.1025,0.4613,0.4613,10,2026-06-21
6,Brazil,0.9887,-0.0989,0.4449,0.4449,12,2026-06-20
7,Germany,0.9295,-0.0929,0.4183,0.4183,8,2026-06-20
8,Japan,0.6093,-0.0609,0.2742,0.2742,10,2026-06-21
9,Colombia,0.5989,-0.0599,0.2695,0.2695,5,2026-06-18
10,USA,0.5498,-0.0550,0.2474,0.2474,6,2026-06-19
11,Norway,0.5414,-0.0541,0.2436,0.2436,2,2026-06-23
12,Portugal,0.5218,-0.0522,0.2348,0.2348,10,2026-06-17
13,Canada,0.4376,-0.0438,0.1969,0.1969,5,2026-06-18
14,Belgium,0.2519,-0.0252,0.1134,0.1134,12,2026-06-21
15,Russia,0.2376,-0.0238,0.1069,0.1069,5,2018-07-07
16,Uruguay,0.1773,-0.0177,0.0798,0.0798,10,2026-06-21
17,Mexico,0.1280,-0.0128,0.0576,0.0576,9,2026-06-19
18,Peru,0.0642,-0.0064,0.0289,0.0289,3,2018-06-26
19,Cameroon,0.0380,-0.0038,0.0171,0.0171,3,2022-12-02
20,Morocco,0.0012,-0.0001,0.0005,0.0005,12,2026-06-19
21,Sweden,-0.0030,0.0003,-0.0014,-0.0014,7,2026-06-20
22,DR Congo,-0.0092,0.0009,-0.0041,-0.0041,1,2026-06-17
23,Cabo Verde,-0.0105,0.0010,-0.0047,-0.0047,2,2026-06-21
24,Scotland,-0.0199,0.0020,-0.0090,-0.0090,2,2026-06-19
25,Switzerland,-0.0216,0.0022,-0.0097,-0.0097,10,2026-06-18
26,Côte d'Ivoire,-0.0371,0.0037,-0.0167,-0.0167,2,2026-06-20
27,Austria,-0.0590,0.0059,-0.0266,-0.0266,2,2026-06-22
28,Ecuador,-0.0687,0.0069,-0.0309,-0.0309,5,2026-06-21
29,Ghana,-0.0712,0.0071,-0.0321,-0.0321,4,2026-06-17
30,Egypt,-0.0736,0.0074,-0.0331,-0.0331,5,2026-06-22
31,Nigeria,-0.1049,0.0105,-0.0472,-0.0472,3,2018-06-26
32,Czechia,-0.1178,0.0118,-0.0530,-0.0530,2,2026-06-18
33,Paraguay,-0.2257,0.0226,-0.1016,-0.1016,2,2026-06-20
34,Denmark,-0.2324,0.0232,-0.1046,-0.1046,7,2022-11-30
35,Algeria,-0.2353,0.0235,-0.1059,-0.1059,2,2026-06-23
36,South Africa,-0.2479,0.0248,-0.1116,-0.1116,2,2026-06-18
37,Iran,-0.2517,0.0252,-0.1132,-0.1132,8,2026-06-21
38,New Zealand,-0.2890,0.0289,-0.1301,-0.1301,2,2026-06-22
39,Croatia,-0.2986,0.0299,-0.1344,-0.1344,15,2026-06-17
40,Uzbekistan,-0.3053,0.0305,-0.1374,-0.1374,1,2026-06-18
41,South Korea,-0.3200,0.0320,-0.1440,-0.1440,9,2026-06-19
42,Australia,-0.3451,0.0345,-0.1553,-0.1553,9,2026-06-19
43,Türkiye,-0.3931,0.0393,-0.1769,-0.1769,2,2026-06-20
44,Jordan,-0.3981,0.0398,-0.1792,-0.1792,2,2026-06-23
45,Iceland,-0.4117,0.0412,-0.1853,-0.1853,3,2018-06-26
46,Bosnia & Herzegovina,-0.4333,0.0433,-0.1950,-0.1950,2,2026-06-18
47,Poland,-0.5201,0.0520,-0.2340,-0.2340,7,2022-12-04
48,Serbia,-0.5680,0.0568,-0.2556,-0.2556,6,2022-12-02
49,Haiti,-0.5870,0.0587,-0.2641,-0.2641,2,2026-06-20
50,Senegal,-0.6617,0.0662,-0.2978,-0.2978,9,2026-06-23
51,Wales,-0.7055,0.0706,-0.3175,-0.3175,3,2022-11-29
52,Curaçao,-0.7638,0.0764,-0.3437,-0.3437,2,2026-06-21
53,Iraq,-0.8492,0.0849,-0.3821,-0.3821,2,2026-06-22
54,Saudi Arabia,-1.0407,0.1041,-0.4683,-0.4683,8,2026-06-21
55,Panama,-1.0857,0.1086,-0.4886,-0.4886,4,2026-06-17
56,Costa Rica,-1.1515,0.1152,-0.5182,-0.5182,6,2022-12-01
57,Tunisia,-1.2471,0.1247,-0.5612,-0.5612,8,2026-06-21
58,Qatar,-1.4403,0.1440,-0.6482,-0.6482,5,2026-06-18
