rank,team,pi_home,pi_away,pi_composite,egm_vs_average,n_matches,last_match_date
1,France,1.1142,-0.1114,0.5014,0.5014,15,2026-06-16
2,England,1.0553,-0.1055,0.4749,0.4749,13,2026-06-17
3,Brazil,0.9887,-0.0989,0.4449,0.4449,12,2026-06-20
4,Argentina,0.9365,-0.0937,0.4214,0.4214,12,2026-06-17
5,Germany,0.9197,-0.0920,0.4139,0.4139,7,2026-06-14
6,Sweden,0.7117,-0.0712,0.3202,0.3202,6,2026-06-15
7,Colombia,0.5989,-0.0599,0.2695,0.2695,5,2026-06-18
8,USA,0.5498,-0.0550,0.2474,0.2474,6,2026-06-19
9,Netherlands,0.5309,-0.0531,0.2389,0.2389,6,2026-06-14
10,Portugal,0.5218,-0.0522,0.2348,0.2348,10,2026-06-17
11,Spain,0.4910,-0.0491,0.2210,0.2210,9,2026-06-15
12,Norway,0.4500,-0.0450,0.2025,0.2025,1,2026-06-16
13,Canada,0.4376,-0.0438,0.1969,0.1969,5,2026-06-18
14,Austria,0.3000,-0.0300,0.1350,0.1350,1,2026-06-17
15,Belgium,0.2913,-0.0291,0.1311,0.1311,11,2026-06-15
16,Russia,0.2376,-0.0238,0.1069,0.1069,5,2018-07-07
17,Uruguay,0.2084,-0.0208,0.0938,0.0938,9,2026-06-15
18,Côte d'Ivoire,0.1491,-0.0149,0.0671,0.0671,1,2026-06-14
19,Mexico,0.1280,-0.0128,0.0576,0.0576,9,2026-06-19
20,Peru,0.0642,-0.0064,0.0289,0.0289,3,2018-06-26
21,Cameroon,0.0380,-0.0038,0.0171,0.0171,3,2022-12-02
22,New Zealand,0.0051,-0.0005,0.0023,0.0023,1,2026-06-16
23,Morocco,0.0012,-0.0001,0.0005,0.0005,12,2026-06-19
24,Japan,-0.0025,0.0002,-0.0011,-0.0011,9,2026-06-14
25,Cabo Verde,-0.0087,0.0009,-0.0039,-0.0039,1,2026-06-15
26,DR Congo,-0.0092,0.0009,-0.0041,-0.0041,1,2026-06-17
27,Scotland,-0.0199,0.0020,-0.0090,-0.0090,2,2026-06-19
28,Switzerland,-0.0216,0.0022,-0.0097,-0.0097,10,2026-06-18
29,Ghana,-0.0712,0.0071,-0.0321,-0.0321,4,2026-06-17
30,Ecuador,-0.0967,0.0097,-0.0435,-0.0435,4,2026-06-14
31,Nigeria,-0.1049,0.0105,-0.0472,-0.0472,3,2018-06-26
32,Czechia,-0.1178,0.0118,-0.0530,-0.0530,2,2026-06-18
33,Paraguay,-0.2257,0.0226,-0.1016,-0.1016,2,2026-06-20
34,Denmark,-0.2324,0.0232,-0.1046,-0.1046,7,2022-11-30
35,South Africa,-0.2479,0.0248,-0.1116,-0.1116,2,2026-06-18
36,Iran,-0.2909,0.0291,-0.1309,-0.1309,7,2026-06-16
37,Croatia,-0.2986,0.0299,-0.1344,-0.1344,15,2026-06-17
38,Jordan,-0.3000,0.0300,-0.1350,-0.1350,1,2026-06-17
39,Uzbekistan,-0.3053,0.0305,-0.1374,-0.1374,1,2026-06-18
40,South Korea,-0.3200,0.0320,-0.1440,-0.1440,9,2026-06-19
41,Australia,-0.3451,0.0345,-0.1553,-0.1553,9,2026-06-19
42,Türkiye,-0.3931,0.0393,-0.1769,-0.1769,2,2026-06-20
43,Iceland,-0.4117,0.0412,-0.1853,-0.1853,3,2018-06-26
44,Bosnia & Herzegovina,-0.4333,0.0433,-0.1950,-0.1950,2,2026-06-18
45,Egypt,-0.4394,0.0439,-0.1977,-0.1977,4,2026-06-15
46,Iraq,-0.4500,0.0450,-0.2025,-0.2025,1,2026-06-16
47,Algeria,-0.4586,0.0459,-0.2064,-0.2064,1,2026-06-17
48,Saudi Arabia,-0.5098,0.0510,-0.2294,-0.2294,7,2026-06-15
49,Poland,-0.5201,0.0520,-0.2340,-0.2340,7,2022-12-04
50,Serbia,-0.5680,0.0568,-0.2556,-0.2556,6,2022-12-02
51,Haiti,-0.5870,0.0587,-0.2641,-0.2641,2,2026-06-20
52,Senegal,-0.5941,0.0594,-0.2673,-0.2673,8,2026-06-16
53,Wales,-0.7055,0.0706,-0.3175,-0.3175,3,2022-11-29
54,Tunisia,-0.7613,0.0761,-0.3426,-0.3426,7,2026-06-15
55,Curaçao,-0.9003,0.0900,-0.4052,-0.4052,1,2026-06-14
56,Panama,-1.0857,0.1086,-0.4886,-0.4886,4,2026-06-17
57,Costa Rica,-1.1515,0.1152,-0.5182,-0.5182,6,2022-12-01
58,Qatar,-1.4403,0.1440,-0.6482,-0.6482,5,2026-06-18
